
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        33  3.868103E-16  5.181741E-15 -4.718545E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         8  19 -8.451822E-01 -1.150919E-04 -1.150781E-04  1.549951E-03 -9.227010E-02 -2.279097E-09
         8  20 -8.909207E-01 -1.902515E-08 -7.812827E-09  1.549939E-03 -8.983842E-02 -2.482586E-09
         8  21 -9.366591E-01  1.150521E-04  1.150617E-04  1.549928E-03 -9.227011E-02 -2.993932E-09
         8  22  7.186126E-14  1.625285E-14  5.489454E-14  1.903408E-14 -1.018855E-01 -2.279126E-09
         8  23  9.047552E-14  2.757705E-14  6.885663E-14  1.932215E-14 -9.945380E-02 -2.482575E-09
         8  24  1.291234E-13  5.896478E-14  1.295339E-13  2.235217E-14 -1.018855E-01 -2.993943E-09
         8  25  8.451822E-01  1.150919E-04  1.150781E-04 -1.549951E-03 -9.227010E-02 -2.279109E-09
         8  26  8.909207E-01  1.902513E-08  7.812978E-09 -1.549939E-03 -8.983842E-02 -2.482599E-09
         8  27  9.366591E-01 -1.150521E-04 -1.150617E-04 -1.549928E-03 -9.227011E-02 -2.994013E-09
         9   1 -9.639717E-01 -1.151110E-04 -1.150989E-04 -1.549910E-03 -9.227011E-02  6.753336E-09
         9   2 -1.009710E+00 -1.944385E-08 -2.871211E-08 -1.549925E-03 -8.983843E-02  9.757190E-09
         9   3 -1.055449E+00  1.151553E-04  1.150771E-04 -1.549939E-03 -9.227012E-02 -1.499988E-09
         9   4  2.693333E-14  4.624259E-14  9.452656E-14  1.370702E-14 -1.018855E-01  6.753428E-09
         9   5  2.949089E-14  4.308834E-14  6.588725E-14  1.807019E-14 -9.945381E-02  9.757244E-09
         9   6  2.637970E-14  4.057227E-14  2.720067E-14  2.339618E-14 -1.018855E-01 -1.499912E-09
         9   7  9.639717E-01  1.151110E-04  1.150989E-04  1.549910E-03 -9.227011E-02  6.753423E-09
         9   8  1.009710E+00  1.944377E-08  2.871217E-08  1.549925E-03 -8.983843E-02  9.757242E-09
         9   9  1.055449E+00 -1.151553E-04 -1.150771E-04  1.549939E-03 -9.227012E-02 -1.499900E-09
         9  10 -9.639715E-01 -1.150499E-04 -1.150378E-04  2.550723E-13 -8.581200E-02 -2.700395E-14
         9  11 -1.009710E+00  4.163697E-08  3.236866E-08  2.512033E-13 -8.338030E-02 -9.678556E-15
         9  12 -1.055448E+00  1.152164E-04  1.151382E-04  2.465908E-13 -8.581199E-02  6.679133E-15
         9  13  6.997192E-14  3.483156E-14  6.559341E-14  1.646546E-14 -9.542738E-02  1.390832E-15
         9  14  6.702539E-14  2.832120E-14  5.279524E-14  1.801743E-14 -9.299569E-02  1.592832E-15
         9  15  6.018567E-14  1.874716E-14  1.585326E-14  1.877484E-14 -9.542737E-02  4.141743E-15
         9  16  9.639715E-01  1.150499E-04  1.150378E-04 -2.596763E-13 -8.581200E-02 -3.371168E-14
         9  17  1.009710E+00 -4.163706E-08 -3.236859E-08 -2.528488E-13 -8.338030E-02 -3.462679E-14
         9  18  1.055448E+00 -1.152164E-04 -1.151382E-04 -2.455361E-13 -8.581199E-02 -2.112560E-14
         9  19 -9.639717E-01 -1.151110E-04 -1.150989E-04  1.549910E-03 -9.227011E-02 -6.753397E-09
         9  20 -1.009710E+00 -1.944383E-08 -2.871212E-08  1.549925E-03 -8.983843E-02 -9.757183E-09
         9  21 -1.055449E+00  1.151553E-04  1.150771E-04  1.549939E-03 -9.227012E-02  1.499994E-09
         9  22  9.347078E-14  5.062052E-14  1.471075E-13  1.491200E-14 -1.018855E-01 -6.753407E-09
         9  23  1.111961E-13  5.768121E-14  1.801576E-13  1.188431E-14 -9.945381E-02 -9.757236E-09
